ACCEPT	OK
OTHER_WORLD_EVE_EVENT_TIME_TEXT	Tempo restante da Pré-Jornada ao Submundo
OTHER_WORLD_EVENT_TIME_TEXT	Tempo restante da Jornada ao Submundo
OTHER_WORLD_EXIT_BUTTON	Sair
OTHER_WORLD_ITEM_NAME_TEXT	Item
OTHER_WORLD_COUNT_TEXT	Qtd
OTHER_WORLD_SLASH_TEXT	/
OTHER_WORLD_NEED_TEXT	Necessária
OTHER_WORLD_EXCHANGE_MENU_TEXT	Trocar
OTHER_WORLD_LIFE_AND_DEATH_LIST_TEXT	Lista Negra
OTHER_WORLD_REINCARNATION_WATER_TEXT	Água da Reencarnação
OTHER_WORLD_DEAD_SOUL_TEXT	Alma Perdida
OTHER_WORLD_HELL_GATE_KEY_TEXT	Chave de Asmodeus
OTHER_WORLD_EXCHANGE_TEXT	Trocar
KEYCHANGE_DRAGON_GATE	Portão do Dragão
DRAGON_GATE_BASE_NAME	Portão do Dragão
DRAGON_GATE_NAME	Portão do Dragão: %s
DRAGON_GATE_SIDE_NAME	Informação do Portão do Dragão
DRAGON_GATE_SIDE_NAME_BY_INDEX	%s
DRAGON_GATE_REINFORCE_TEXT	Fortalecer
DRAGON_GATE_AUTO_REINFORCE_TEXT	Fortalecer Auto
EVENT_REWARD_CHECK	Verificar\nRecompensa
EVENT_REWARD_LIST_TITLE	Lista de Recompensas
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Desafio da Metin
ICECREAM_EVENT_TITL	Verão
RAMADAN_EVENT_TITL	Ramadã
SELECT_ATTR_TITLE	Pergaminho do Aprimoramento+
SELECT_ATTR_CURRENT	Atual
SELECT_ATTR_SELECT	Selecionar
SELECT_ATTR_CHANGED	Novo
MOUNT_UPGRADE_SYSTEM_TITLE	Fortalecer Cavalo
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Alimentar Cavalo
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Utilizar todas as forragens para fortalecer
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Fortalecer
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Não possui forragem suficiente
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Não é possível alimentar mais o Cavalo
VALENTINE_DAY_EVENT_TITLE	Evento dos Namorados
VALENTINE_DAY_EVENT_CURRENT_COUNT	Quantidade coletada
VALENTINE_DAY_EVENT_MAX_COUNT	Quantidade disponível
VALENTINE_DAY_EVENT_USE_BUTTON	Resgatar
VALENTINE_DAY_EVENT_WRAP_BUTTON	Empacotar
MERCENARY_TITLE	Mercenários
MERCENARY_MISSION_REGIST	Missões
MERCENARY_MISSION_ACTIVE	Vigor
MERCENARY_MISSION_MERCENARY_LIST	Mercenários
MERCENARY_MISSION_JOIN	Selecionar
MERCENARY_MISSION_AUTO_JOIN	Seleção auto.
MERCENARY_MISSION_INFO	Informações da missão
MERCENARY_MISSION_TYPE	Tipo de missão
MERCENARY_MISSION_LIMIT_LEVEL	Nível necessário
MERCENARY_MISSION_LIMIT_ACTIVE	Vigor necessário
MERCENARY_MISSION_SUCCESS_PCT	Taxa de sucesso
MERCENARY_MISSION_SUGGESTION	Recomendado
MERCENARY_MISSION_REWARD_LIST	Lista de recompensas
MERCENARY_MISSION_DISPATCH_MERCENARY	Mercenários selecionados
MERCENARY_MISSION_ALL_CANCLE	Desfazer tudo
MERCENARY_MISSION_DISPATCH_BENEFITS	Bônus dos mercenários
MERCENARY_MISSION_CURRENT_INFO	Status atual
MERCENARY_MANAGE_CURE	Curar
MERCENARY_MANAGE_FIRE	Dispensar
MERCENARY_MANAGE_REGIST_DRAIN	Absorção
MERCENARY_MANAGE_INFO	Informações do Mercenário
MERCENARY_MANAGE_NAME	Nome
MERCENARY_MANAGE_LEVEL	Nível
MERCENARY_MANAGE_EXP	Experiência
MERCENARY_MANAGE_SKILL	Habilidade
MERCENARY_MANAGE_SPECIFICITY	Especialidade
MERCENARY_MANAGE_LEVELUP	Subir nível do mercenário
MERCENARY_MANAGE_DRAIN_MAIN	Mercenário principal
MERCENARY_MANAGE_NEXT_LEVEL	Nível previsto
MERCENARY_MANAGE_NEXT_EXP	Exp prevista
MERCENARY_MANAGE_DRAIN_SUB	Mercenário material
MERCENARY_MANAGE_DRAIN_START	Iniciar absorção
MERCENARY_MISSION_DECREASE_RUNTIME	Reduzir tempo de missão
MERCENARY_MISSION_DECREAS_INJURE	Reduzir taxa de lesões
MERCENARY_MISSION_EXP_BONUS	Pontos de experiência extra
MERCENARY_MISSION_BONUS_REWARD	Recompensa extra
KEYCHANGE_MERCENARY	Mercenário
MERCENARY_MANAGE_DELAY_CURE	Medicar
MERCENARY_MANAGE_IMMEDIATELY_CURE	Cura rápida
EQUIPMENT_SLOT_1	Primeira aba do equipamento
EQUIPMENT_SLOT_2	Segunda aba do equipamento
BELT_INVENTORY_TITLE	Inventário do Cinto
GUILD_BATTLE_STATUS_BOARD	Placar
GUILD_BATTLE_AREA_MOVE_BUTTON	Teleportar
GUILD_BATTLE_RESULT_BOARD	Resultado da Batalha de Guildas
GUILD_BATTLE_RESULT_BOARD_RANKING	Ranking
GUILD_BATTLE_RESULT_BOARD_EXIT	Sair
GUILD_BATTLE_RANK_BOARD	Ranking
GUILD_BATTLE_RANK_BOARD_RANK	Rank
GUILD_BATTLE_RANK_BOARD_NAME	Nome
GUILD_BATTLE_RANK_BOARD_TEAM	Time
GUILD_BATTLE_RANK_BOARD_PC_KILL	P.\nKill
GUILD_BATTLE_RANK_BOARD_MOB_KILL	Mob\nKill
GUILD_BATTLE_RANK_BOARD_PC_DEAD	Mortes
PRIVATE_SHOP_SEARCH_BY_VNUM_BOARD_TITLE	Lista de Busca
PRIVATE_SHOP_SEARCH_BY_VNUM_CANCEL_BUTTON_TEXT	Cancelar
PRIVATE_SHOP_SEARCH_BY_VNUM_SEARCH_BUTTON_TEXT	Buscar
KEYCHANGE_SUNGMAHEE_GATE_ACHIEV	Insígnias das Conquistas
SUNGMAHEE_GATE_TITLE	Invasão de Sung Mahi
SUNGMAHEE_GATE_TITLE_ACHIEV	Insígnias das Conquistas
SUNGMAHEE_GATE_TITLE_REWARD	Insígnias Conquistadas
SUNGMAHEE_GATE_ACHIEV_COUNT	Quantidade de Insígnias
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_REWARD_LIST	Lista de Recompensas
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_GET_REWARD	Resgatar Recompensa
ROULETTE_TITLE	Recompensa
ROULETTE_SPECIAL_TITLE	Recompensa Especial (%s)
ROULETTE_SPIN_TEXT1	GIRAR
ROULETTE_SPIN_TEXT2	50 Almas
ROULETTE_SPIN_TEXT3	250.000 gold
BANNER_ROULETTE_BUTTON	Ritual de Sangue
LOOTING_SYSTEM_ARMOR	Armaduras
LOOTING_SYSTEM_CATEGORY_COMMON	Outros
LOOTING_SYSTEM_CATEGORY_COMMON_BELT	Cintos
LOOTING_SYSTEM_CATEGORY_COMMON_EAR	Brincos
LOOTING_SYSTEM_CATEGORY_COMMON_FOOTS	Sapatos
LOOTING_SYSTEM_CATEGORY_COMMON_GLOVE	Luvas
LOOTING_SYSTEM_CATEGORY_COMMON_NECK	Colares
LOOTING_SYSTEM_CATEGORY_COMMON_PENDANT	Pingentes
LOOTING_SYSTEM_CATEGORY_COMMON_PICK	Picaretas
LOOTING_SYSTEM_CATEGORY_COMMON_ROD	Varas de Pesca
LOOTING_SYSTEM_CATEGORY_COMMON_SHIELD	Escudos
LOOTING_SYSTEM_CATEGORY_COMMON_WRIST	Braceletes
LOOTING_SYSTEM_CATEGORY_COSTUME	Trajes
LOOTING_SYSTEM_CATEGORY_COSTUME_ACCE	Faixas
LOOTING_SYSTEM_CATEGORY_COSTUME_ARMOR	Trajes
LOOTING_SYSTEM_CATEGORY_COSTUME_AURA	Aura
LOOTING_SYSTEM_CATEGORY_COSTUME_ETC	Outros
LOOTING_SYSTEM_CATEGORY_COSTUME_HAIR	Cabelos
LOOTING_SYSTEM_CATEGORY_COSTUME_WEAPON	Skin de Arma
LOOTING_SYSTEM_CATEGORY_DS	Tipo
LOOTING_SYSTEM_CATEGORY_DS_DS	Pedra do Dragão
LOOTING_SYSTEM_CATEGORY_DS_ETC	Outros
LOOTING_SYSTEM_CATEGORY_ETC	Outros
LOOTING_SYSTEM_CATEGORY_ETC_ETC	Outros
LOOTING_SYSTEM_CATEGORY_ETC_GIFTBOX	Caixas
LOOTING_SYSTEM_CATEGORY_ETC_MATRIMONY	Casamento
LOOTING_SYSTEM_CATEGORY_ETC_PARTY	Grupo
LOOTING_SYSTEM_CATEGORY_ETC_POLYMORPH	Polimorfia
LOOTING_SYSTEM_CATEGORY_ETC_RECIPE	Manufaturação
LOOTING_SYSTEM_CATEGORY_ETC_SEAL	Pergaminhos
LOOTING_SYSTEM_CATEGORY_ETC_WEAPON_ARROW	Flechas
LOOTING_SYSTEM_CATEGORY_FISH_MINING	Tipo
LOOTING_SYSTEM_CATEGORY_FISH_MINING_ETC	Outro
LOOTING_SYSTEM_CATEGORY_FISH_MINING_FOOD	Comida
LOOTING_SYSTEM_CATEGORY_FISH_MINING_STONE	Minérios & Gemas
LOOTING_SYSTEM_CATEGORY_JOB	Classe
LOOTING_SYSTEM_CATEGORY_JOB_ASSASSIN	Ninja
LOOTING_SYSTEM_CATEGORY_JOB_PUBLIC	Outro
LOOTING_SYSTEM_CATEGORY_JOB_SHAMAN	Shaman
LOOTING_SYSTEM_CATEGORY_JOB_SURA	Shura
LOOTING_SYSTEM_CATEGORY_JOB_WARRIOR	Guerreiro
LOOTING_SYSTEM_CATEGORY_JOB_WOLFMAN	Lycan
LOOTING_SYSTEM_CATEGORY_MOUNT_PET	Tipo
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_CHARGED_PET	Pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_EGG	Ovo de Pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_FREE_PET	Utilitários Pet
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_MOUNT	Montaria
LOOTING_SYSTEM_CATEGORY_POTION	Tipo
LOOTING_SYSTEM_CATEGORY_POTION_ABILITY	Consumíveis
LOOTING_SYSTEM_CATEGORY_POTION_ETC	Outros
LOOTING_SYSTEM_CATEGORY_POTION_HAIRDYE	Tintas de Cabelo
LOOTING_SYSTEM_CATEGORY_REFINE	Tipo
LOOTING_SYSTEM_CATEGORY_REFINE_ALCHEMY	Aumenta Chance
LOOTING_SYSTEM_CATEGORY_REFINE_ETC	Outros
LOOTING_SYSTEM_CATEGORY_REFINE_MATERIAL	Materiais
LOOTING_SYSTEM_CATEGORY_REFINE_STONE	Joias
LOOTING_SYSTEM_CATEGORY_UNIQUE	Tipo
LOOTING_SYSTEM_CATEGORY_UNIQUE_ABILITY	Consumíveis
LOOTING_SYSTEM_CATEGORY_UNIQUE_ETC	Outros
LOOTING_SYSTEM_COMMON	Equipamentos Variados
LOOTING_SYSTEM_COSTUME	Trajes
LOOTING_SYSTEM_DS	Pedras do Dragão
LOOTING_SYSTEM_ETC	Outros
LOOTING_SYSTEM_EVENT	Item de Evento
LOOTING_SYSTEM_EXIT_WITH_SAVING	Sair sem salvar?
LOOTING_SYSTEM_EXIT_WITHOUT_SAVING	Salvar e sair? Aplicará apenas com Passe de Espólios ativo.
LOOTING_SYSTEM_FISH_MINING	Pesca & Mineração
LOOTING_SYSTEM_HEAD	Elmos
LOOTING_SYSTEM_INIT	Reiniciar
LOOTING_SYSTEM_INIT_QUESTION_DIALOG_TITLE	Deseja reiniciar as configurações?
LOOTING_SYSTEM_MESSAGE_ENABLE_VOUCHER	Funções ativadas com Passe de Espólios
LOOTING_SYSTEM_MESSAGE_POSSIBLE_ITEM_PICKUP	Coletará itens de acordo com as configurações
LOOTING_SYSTEM_MOUNT_PET	Montarias & Pets
LOOTING_SYSTEM_OFF	OFF
LOOTING_SYSTEM_ON	ON
LOOTING_SYSTEM_POTION	Poções
LOOTING_SYSTEM_QUESTION_ARMOR	Definição dos parâmetros de coleta de armaduras.
LOOTING_SYSTEM_QUESTION_COMMON	Definição dos parâmetros de coleta para itens que podem ser equipados por todas as classes.
LOOTING_SYSTEM_QUESTION_COSTUME	Definição dos parâmetros de coleta de trajes (armas, trajes, cabeças, faixas e aura).
LOOTING_SYSTEM_QUESTION_DS	Definição dos parâmetros de coleta de itens de Pedras do Dragão.
LOOTING_SYSTEM_QUESTION_ETC	Definição dos parâmetros de coleta de itens diversos das categorias de equipamentos, trajes, refinação, poções, montarias, pets, pescaria, mineração, livros de habilidades e itens de evento.
LOOTING_SYSTEM_QUESTION_EVENT	Definição dos parâmetros de coleta de itens de evento.
LOOTING_SYSTEM_QUESTION_FISH_MINING	Definição dos parâmetros de coleta de itens de pescaria e mineração.
LOOTING_SYSTEM_QUESTION_HEAD	Definição dos parâmetros de coleta de elmos.
LOOTING_SYSTEM_QUESTION_MOUNT_PET	Definição dos parâmetros de coleta de itens de montarias e pets.
LOOTING_SYSTEM_QUESTION_POTION	Definição dos parâmetros de coleta de poções.
LOOTING_SYSTEM_QUESTION_REFINE	Definição dos parâmetros de coleta de itens de refinação.
LOOTING_SYSTEM_QUESTION_SKILL_BOOK	Definição dos parâmetros de coleta de livros de habilidades para classes e cavalo.
LOOTING_SYSTEM_QUESTION_UNIQUE	Definição dos parâmetros de coleta de itens únicos.
LOOTING_SYSTEM_QUESTION_WEAPON	Definição dos parâmetros de coleta de armas.
LOOTING_SYSTEM_REFINE	Refinação
LOOTING_SYSTEM_SAVE	Salvar
LOOTING_SYSTEM_SKILL_BOOK	Livros de Habilidades
LOOTING_SYSTEM_TITLE	Filtro de Espólios
LOOTING_SYSTEM_UNIQUE	Únicos
LOOTING_SYSTEM_WEAPON	Armas
LOOTING_SYSTEM_WEARING_LEVEL	Nível necessário
OPTION_LOOTING_SETTING	Espólios
NPC_HELPER_ATLAS_TITLE	Mapa
NPC_HELPER_ATLAS_EXPAND_BUTTON_TOOLTIP	Mostrar Guia de NPC
NPC_HELPER_ATLAS_SHRINK_BUTTON_TOOLTIP	Fechar Guia de NPC
NPC_HELPER_ATLAS_SWITCH_TO_NPC_LOCATION_HELPER_BUTTON_TOOLTIP	Trocar para o Guia de NPC
NPC_HELPER_ATLAS_SWITCH_TO_SMALL_BUTTON_TOOLTIP	Trocar para o antigo mapa
NPC_HELPER_NPC_INFO_TITLE	Guia de NPC
NPC_HELPER_NPC_INFO_MENU_SELECT_CATEGORY	Selecionar Região
NPC_HELPER_NPC_INFO_MENU_SELECT_MAP	Selecionar Mapa
NPC_HELPER_NPC_INFO_LEVEL	Nv.
NPC_HELPER_NPC_INFO_CONQUEROR_LEVEL	Nv. C.
NPC_HELPER_NPC_INFO_MENU_NPC_LIST	Lista de NPC
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_FIELD	Regiões dos Reinos
NPC_LOCATION_HELPER_MAP_CATEGORY_NEUTRAL	Regiões Neutras
NPC_LOCATION_HELPER_MAP_CATEGORY_EVIL_DRAGON_TERRITORY	Ilhas do Caos
NPC_LOCATION_HELPER_MAP_CATEGORY_LABYRINTH	Labirinto da Ilusão
NPC_LOCATION_HELPER_MAP_CATEGORY_EMPIRE_DUNGEON	Calabouços dos Reinos
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_FIELD	Campos de Yohara
NPC_LOCATION_HELPER_MAP_CATEGORY_NEW_WORLD_DUNGEON	Calabouços de Yohara
NPC_LOCATION_HELPER_MOB_INFO_TITLE	Enciclopédia de Monstros
NPC_LOCATION_HELPER_MOB_INFO_MOB_INFO	Lista de monstros
NPC_LOCATION_HELPER_MOB_INFO_DROP_ITEM_INFO	Lista de drop
NPC_LOCATION_HELPER_TOOLTIP_MOB_INFO_SEARCH_BUTTON	Selecione o monstro que deseja checar a localização e então clique neste botão para verificá-la. Necessário o item Localizador de Monstros.
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_ACCEPT	Disponível
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_PROGRESS	Em andamento
NPC_LOCATION_HELPER_QUEST_PROGRESS_STATE_COMPLETE	Concluir
NPC_LOCATION_HELPER_TOOLTIP_GUILD_LAND	Terreno de Guilda: Informações atuais de leilão.\nTempo de espera de 1 minuto.
NPC_LOCATION_HELPER_TOOLTIP_DROP_ITEM_INFO	Enciclopédia de Monstros: Ao clicar, poderá verificar informações de monstros que podem ser encontrados no mapa correspondente e suas listas de drops.
NPC_LOCATION_HELPER_TOOLTIP_SCALE_UP	Zoom In: Ampliação do mapa
NPC_LOCATION_HELPER_TOOLTIP_SCALE_DOWN	Zoom Out: Reduzir a ampliação
NPC_LOCATION_HELPER_TOOLTIP_MY_LOCATION	Minha localização: Ao clicar, exibirá o mapa ou localização em que o personagem está no momento.
