10955	Pingente do Fogo+10	Não pode ser refinado ou negociado.
10956	Pingente do Gelo+10	Não pode ser refinado ou negociado.
10957	Pingente do Vento+10	Não pode ser refinado ou negociado.
10958	Pingente do Trovão+10	Não pode ser refinado ou negociado.
10959	Pingente da Terra+10	Não pode ser refinado ou negociado.
10960	Pingente das Trevas+10	Não pode ser refinado ou negociado.
55064	Equitação (Sung Ma VIT)	Aumenta o Ímpeto de Sung Ma (VIT) durante um período enquanto estiver utilizando montaria.	
55065	Equitação (Sung Ma RES)	Aumenta o Ímpeto de Sung Ma (RES) durante um período enquanto estiver utilizando montaria.	
55066	Equitação (Sung Ma INT)	Aumenta o Ímpeto de Sung Ma (INT) durante um período enquanto estiver utilizando montaria.	
55067	Equitação (Precisão)	Aumenta a precisão enquanto estiver utilizando montaria.	
55070	Baú de Livros Equitação	Contém um Livro de Equitação aleatório.	
55100	Ração de Proteína Premium	Material necessário para ressuscitar um power pet através da janela de informações. O número de itens varia de acordo com a idade do pet.	
55401	Ovo de Macaco	Quando quiser que seu pet choque, clique com o botão direito do mouse no ovo.	
55402	Ovo de Aranha	Quando quiser que seu pet choque, clique com o botão direito do mouse no ovo.	
55403	Ovo de Yamacheon	Quando quiser que seu pet choque, clique com o botão direito do mouse no ovo.	
55404	Ovo de Nemere	Quando quiser que seu pet choque, clique com o botão direito do mouse no ovo.	
55406	Ovo de Dragão Vermelho	Clique com o direito para chocar o pet Dragão Vermelho	
55407	Ovo de Gahnasel	Um pequeno Gahnasel pode ser obtido ao chocar esse ovo. 	
55408	Ovo de Mini-Executor	Um Mini-Executor pode ser obtido ao chocar esse ovo. 	
55409	Ovo de Mammon	Um pequeno  Mammon pode ser obtido ao chocar esse ovo. 	
55411	Ovo de Bebê Exedyar	Ao usar, liberará o selo do Bebê Exedyar	
55412	Ovo de Alastor	Ao usar, liberará o selo do Mini Alastor	
55413	Ovo de Akanor	Invocará um Mini Akanor ao chocar o ovo.
55701	Príncipe Macaco	Clique com o botão direito para invocar seu pet, então pressione "P" no teclado para abrir a interface de pets.	
55702	Princesa Aranha	Clique com o botão direito para invocar seu pet, então pressione "P" no teclado para abrir a interface de pets.	
55703	Mini Yamacheon	Clique com o botão direito para invocar seu pet, então pressione "P" no teclado para abrir a interface de pets.	
55704	Mini Nemere	Clique com o botão direito para invocar seu pet, então pressione "P" no teclado para abrir a interface de pets.	
55706	Pet Dragão Vermelho	Aperte P para chamar a interface do pet	
55707	Pequeno Gahnasel	(Pequeno Gahnasel) Clique com o botão direito do mouse para invocar seu pet, em seguida, pressione "P" no teclado para abrir a interface do Pet.	
55708	Baby Mini-Executor	(Mini-Executor) | Clique com o botão direito do mouse para invocar seu pet, em seguida, pressione "P" no teclado para abrir a interface do Pet.	
55709	Mammon	(Mammon) | Clique com o botão direito do mouse para invocar	
55711	Bebê Exedyar	Aperte 'P' para abrir a interface de pets.	
55712	Mini Alastor	(Mini Alastor) | Aperte 'P' para abrir a interface de pets	
55713	Mini Akanor	(Mini Akanor) | Aperte a tecla 'P' para abrir as informações de pet.
56000	Selo do Pônei Pintado	O selo invoca seu amigável Appaloosa. Ele garante +10 Velocidade de Movimento ao seu cavaleiro.	
56001	Pergaminho da Vila	Esse pergaminho pode te teleportar para as duas vilas do seu reino. Pode ser usado 5 vezes e é válido a partir do nível 10.	
56002	Papiro do Fogo	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra fogo.	
56003	Papiro do Gelo	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra gelo.	
56004	Papiro do Relâmpago	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra relâmpago.	
56005	Papiro do Vento	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra vento.	
56006	Papiro da Terra	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra terra.	
56007	Papiro das Trevas	Papiro que pode ser utilizado apenas em armas com nível de refinação +7 ou superior. Ao encantar a arma com sucesso, adicionará bônus contra trevas.	
56008	Papiro Amaldiçoado	Este papiro permite reduzir um nível do encantamento elemental de uma arma.	
56009	Papiro da Conversão	Este papiro permite modificar o encantamento elemental de uma arma. O nível do encantamento será mantido.	
56011	Cupom de Doação Médio	Usado para doação da guilda. Receberá recompensas melhores ao usar.	
56012	Cupom de Doação Superior	Usado para doação da guilda. Receberá recompensas melhores ao usar.	
56013	Chave do Rei Dragão	Necessária para acessar o Palácio do Rei Dragão.	
60001	Bílis		
60002	Indicação do Armazém		
60003	Símbolo Heróico		
60004	Lupa da Oferta	Permite que você procure um item específico nas lojas da redondeza.	
60005	Lupa do Comércio	Permite que você procure e compre imediatamente um item específico nas lojas da redondeza.	
63021	Bolo de Aniversário	Recupera 300 HP	
63023	Anel de Aniversário	EXP+50% | Velocidade de Ataque+20% | Dano contra Monstros+30% | Refletir Ataque Fisico+20% | HP Máximo +10% | MP Máximo +10%	
70001	Boneca da Deusa		
70002	Terceira Mão	Recolhe automaticamente o Gold derrubado pelos monstros que você derrotar.	
70003	Liutao	Aumenta em até 30% a exp ganha pelo grupo (deve ser usada pelo líder do grupo).	
70004	Medalha do Empenho	Prêmio entregue às pessoas dedicadas e competentes	
70005	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros. Após equipar, não é possível remover.	
70006	Anel da Linguagem	Permite compreender a lingua falada em outros reinos temporariamente.	
70008	Bandeira Branca	Utilize para parar a batalha.	
70009	Caixa do Tesouro		
70012	Lágrima da Deusa	Diminui a perda de experiência caso seu personagem seja derrotado.	
70013	Lágrima da Deusa Maior		
70014	Pílula de Sangue	Retorna seu ponto de Stats (somente 1 ponto)	
70020	Poção Regeneradora	Regenera instantaneamente 500HP.	
70024	Esfera da Bênção	De acordo com a lenda, é uma esfera com a bênção dos Deuses.	
70026	Espelho do Sumiço	Ficará invisível ao usar.	
70027	Memórias do Ferreiro	Anotações visionárias feitas por um lendário ferreiro. Fala sobre a produção em massa de armas.	
70028	Memórias de Prudente	Não destrói o item em caso de falha.	Aplica 100% de chance de sucesso ao refinar itens de +5 para +6.
70031	Tomo Divino	Usado para transmutar determinados itens em itens divinos.	
70035	Ferro Eterno	Aço de alta qualidade, se não a melhor. encontrado apenas nas regiões altas das terras antigas. Transforma o Pergaminho da Paz em Pergaminho do Jihad (Ferreiro).	
70037	Livro do Esquecimento	Ao ler, esquecerá um nível da skill e receberá um ponto de skill.	
70038	Manto da Bravura	Provoca todos os monstros ao seu redor, fazendo com que todos ataquem quem vestir o manto. Pode ser utilizado somente uma vez.	
70039	Livro do Ferreiro	Livro que contém o a arte do ferreiro. Aumenta bastante as chances do refinamento e evita a quebra do item.	
70040	Teimosia do Orc	Reduz pela metade o consumo da Resistência.	
70043	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros. Após equipar, não é possível remover.	
70047	Anel da Linguagem (amostra)	Permite compreender a lingua falada em outros reinos temporariamente.	
70048	Manto do Escapista	Oculta seus pontos e seu nível de Honra.	
70049	Anel da Heun	Não ocorre drop de itens se for derrotado.	
70050	Símbolo do Rei Sábio	Dobra os pontos de Honra ganhos ao derrotar monstros.	
70051	Luva do Rei Sábio	Dobra os pontos de Honra ganhos ao derrotar monstros.	
70052	Feitiço do Karma1	Talismã Budista, protege contra o mal.	
70053	Feitiço do Karma2	Talismã que vem do Budismo, protege contra as maldades	
70054	Feitiço do Karma3	Talismã que vem do Budismo, protege contra as maldades	Experiência +50% | Velocidade de Ataque +20% | Dano contra Monstros +30% | Refletir Ataque Físico +20% | HP Máximo +10% | MP Máximo +10%
70070	Troca de Bonus-Faixa	Transferir propriedades na Faixa de Ombro | Só possível se ambas tiverem o mesmo valor de absorção	
70102	Feijão Zen	Aumenta os pontos de Honra.	
70104	Esfera Poliforma	Transfiguração.	
70105	Esfera Poliforma	Transfiguração.	
70106	Esfera Poliforma	Transfiguração.	
70107	Esfera Poliforma	Transfiguração.	
70201	Descolorante	Recupera a cor original de seus cabelos.	
70202	Tintura Branca de Cabelo	Pode ser utilizado somente a cada 3 níveis.	
70203	Tintura Loira de Cabelo	Pode ser utilizado somente a cada 3 níveis.	
70204	Tintura Ruiva de Cabelo	Pode ser utilizado somente a cada 3 níveis.	
70205	Tintura Roxa de Cabelo	Pode ser utilizado somente a cada 3 níveis.	
70206	Tintura Negra de Cabelo	Pode ser utilizado somente a cada 3 níveis.	
70301	Anel do Casal	Anel necessário para poder se casar.	
70302	Anel de Casamento	Anel que demonstrar o amor por outra pessoa, formando um casal.	
70303	Anel de Hidra	Anel que pode ser adquirido ao derrotar a Hidra. Moverá você para o novo continente.	
70311	Sacrifício de Sangue	Disponível durante o evento. Derrote monstros para capturar suas almas. | Use-as para rodar a roleta das almas. | Clique no Altar de Sangue para receber recompensas.	
70312	Sacrifício Sangue Raro	Disponível durante o evento. Derrote monstros para capturar suas almas. | Use-as para rodar a roleta das almas. | Clique no Altar de Sangue para receber recompensas. | Maior chance de obter almas.	
70313	Ritual de Sangue	Colete almas e receba recompensas! Visite o Altar de Sangue e complete a missão para conseguir o Sacrifício de Sangue. Ao derrotar monstros enquanto o efeito do Sacrifício de Sangue estiver ativo, permite capturar suas almas. Após coletar almas suficientes, poderá rodar a roleta das almas e receber recompensas fantásticas.	
70314	Essa bolsa pode ser obtida através do Evento do Desafio e contém vários itens aleatórios.		
70315	Ticket que pode ser usado para pedra-papel-tesoura durante o Evento do Desafio. | Até 200 tickets podem ser registrados por jogo.		
70316	Ticket que pode ser usado para obter recompensas premium no Evento do Desafio. | Será consumido ao resgatar a recompensa.		
70317	Item que remove o tempo de espera no Evento do Desafio | Selecione para usar.		
70318	Pacote que contém EXP do Desafio (+5000) | Ticket Premium (ED) x5 | Remover Espera (ED) x5		
70319	Baú que pode ser obtido através do Evento do Desafio. Contém uma variedade de itens especiais.		
70320	Aplica 5000 pontos de Experiência de Desafio quando usado.		
70402	Kit de Ações da Torre	Recompensa por completar o 50º andar da Torre Infernal de Sung Mahi.	
70403	Chave da Torre Infernal	Use para saber se é a correta. Pode ser usada apenas na Torre Infernal de Sung Mahi.	
70404	Selo de Sung Mahi	Item usado para romper selo dentro da Torre Infernal de Sung Mahi.	
70405	Cura de Sung Ma	Item usado para remover a maldição na Torre Infernal de Sung Mahi.	
70406	Baú do Ranking Infernal	Recompensa por conquistar o primeiro lugar no ranking de um andar da Torre Infernal de Sung Mahi.	
70407	Passe Misterioso	Entrada para o Calabouço Misterioso	
70408	Passe Misterioso	Entrada para o Calabouço Misterioso	
70410	Chave Congelada	Chave para acessar o Abismo Boreal
70422	Chave da Serpente	Chave para desbloquear o Pilar da Serpente.	
70423	Peça Serpente de Fogo	Parece encaixar na cabeça da Serpente de Fogo.	
70424	Peça Serpente de Gelo	Parece encaixar na cabeça da Serpente de Gelo.	
70425	Peça Serpente de Vento	Parece encaixar na cabeça da Serpente de Vento.	
70426	Peça Serpente de Terra	Parece encaixar na cabeça da Serpente de Terra.	
70427	Chave da Prisão	Parece servir para destrancar a prisão.	
70428	Poeira de Serpente	Adiciona 1 minuto ao tempo restante do Templo da Serpente. Material usado para aprimorar armaduras da serpente.			
70429	Tesouro da Serpente	Tesouro obtido das profundezas do Templo da Serpente. Material necessário para aprimorar equipamento da Serpente.
70430	Reiniciar Templo	Reinicia as entradas do Templo da Serpente para 5.	
70432	Perg. Tesouro (Nível C)	Utilize este pergaminho para ser movido para o Templo Oculto	Nível para utilizar: 75~90
70433	Perg. Tesouro (Nível B)	Utilize este pergaminho para ser movido para o Templo Oculto	Nível para utilizar: 91~120
70434	Perg. Tesouro (Nível A)	Utilize este pergaminho para ser movido para o Templo Oculto	Nível para utilizar: conquistador 1 ou superior
70440	Baú do Tesouro (Nível C)	Baú do Tesouro comum	
70441	Baú do Tesouro (Nível B)	Baú do Tesouro comum	
70442	Baú do Tesouro (Nível A)	Baú do Tesouro comum	
70443	Baú Oculto Bônus (Nv. C)	Ao abrir receberá Tesouro de Gahnasel ou Baú de Dragão da Água.	
70444	Baú Oculto Bônus (Nv. B)	Ao abrir receberá Baú de Jotun Thrym ou o Cofre Amarelo ou Cofre Verde do Templo do Zodíaco.	
70445	Baú Oculto Bônus (Nv. A)	Ao abrir receberá Tesouro da Serpente ou Baú Dragão Branco Leve.	
70446	Baú da Condenação	Ao abrir, receberá material necessário na manufaturação do Escudo da Condenação | Para abrir, é necessário a Chave da Condenação	
70447	Baú da Condenação+	Ao abrir, receberá material necessário na manufaturação do Escudo da Condenação | Para abrir, é necessário a Chave da Condenação+	
70448	Chave da Condenação	Obtido do Asmodeus | Chave para abrir o Baú da Condenação	
70449	Chave da Condenação+	Obtido do Asmodeus | Chave para abrir o Baú da Condenação+	
70450	Pergam. Metin Salvação	Invoca Metin da Salvação (Usável apenas no mapa da Redenção)	
70451	Pacote Chamas Mortais	Contêm 100 Chamas Mortais | Obtível apenas durante o evento	
71001	Pergaminho do Exorcismo	Ignora o tempo de espera de aprendizado entre a leitura dos Livros de Skill.	
71002	Pergaminho do Recomeço	Reinicia os Status do personagem. 	
71003	Pergaminho do Reinício	Reinicia uma Skill escolhida pelo jogador.	
71004	Bênção do Deus Dragão	Evita a perda de experiência ao morrer.	
71005	Anel da Linguagem	Permite compreender a lingua falada em outros reinos temporariamente.	
71006	Anel da Linguagem	Permite compreender a lingua falada em outros reinos temporariamente.	
71007	Anel da Linguagem	Permite compreender a lingua falada em outros reinos temporariamente.	
71008	Pesca Ilustrada	Dobra as chances de pescar um peixe raro.	
71009	Expansão de Armazém	Aumenta 3 slots no seu Armazém.	
71010	Terceira Mão	Recolhe automaticamente o Gold derrubado pelos monstros que você derrotar.	
71011	Máscara Emotiva	Permite demonstrar emoções e realizar ações com seu personagem.	
71012	Liutao	Aumenta em até 30% a exp ganha pelo grupo (deve ser usada pelo líder do grupo).	
71013	Fogos de Artifício	Fogos de artifício utilizado em festas.	
71014	Poção do Lobo	Aumenta a velocidade de ataque em 10%. (30 minutos de duração).	
71015	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros. Ao usar, o item será consumido e o bônus será aplicado durante um período.	
71016	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros. Ao usar, o item será consumido e o bônus será aplicado durante um período.	
71017	Moeda Dourada da Sorte	Aumenta em 50% a chance de dropar gold ao derrotar monstros. Ao usar, o item será consumido e o bônus será aplicado durante um período.	
71018	Poção da Vida	Recupera 100% do HP.	
71019	Poção Espiritual	Recupera 100% do MP.	
71020	Poção do Deus Dragão	Recupera 100% do HP e MP.	
71021	Pergaminho do Jihad	Garante que qualquer refinação até +3 tenha 100% de sucesso	
71022	Livro do Arrependimento	Reinicía os pontos de Inteligência.	
71023	Livro do Oblívio Vital	Reinicía os pontos de Constituição.	
71024	Livro do Oblívio Físico	Reinicía os pontos de Força.	
71025	Pedra do Ferreiro	Minério lendário formado pelo suor e sangue de Ferreiros. Transforma o Pergaminho da Paz em Livro do Ferreiro (Ferreiro).	
71026	Metal Mágico	Metal desconhecido, tem propriedades especiais. Transforma o Pergaminho da Paz em Pergaminho do Dragão (Ferreiro).	
71027	Vida do Deus Dragão	Aumenta seu HP máximo em 20% por um período de tempo. |  Duração: 30 minutos	
71028	Ataque do Deus Dragão	Aumenta o dano entre 20% por um período de tempo. |  Duração: 30 minutos	
71029	Saber do Deus Dragão	Aumenta seu MP máximo em 20% por um período de tempo. |  Duração: 30 minutos	
71030	Defesa do Deus Dragão	Diminui o dano recebido entre 20% por um período de tempo. |  Duração: 30 minutos	
71031	Auxílio do Deus Dragão	Aumenta 5 pontos em todos os Stats.	
71032	Pergaminho do Dragão	Aumenta em 10% a chance de sucesso na refinação do item e se a refinação do item falhar ele não é destruido, apenas perde 1 nível.	
71033	Máscara Emotiva	Permite demonstrar emoções e realizar ações com seu personagem.	
71034	Poção do Puma	Aumenta a velocidade de ataque em 15% (30 minutos de duração)	
71035	Soro da Persuasão	Aumenta a aceitação de itens de quest em 30%.	
71036	Pergaminho do Chefe Orc	Evoca um Chefe Orc.	
71037	Pergaminho do Fanático	Evoca um Líder Fanático.	
71038	Pergaminho da Aranha	Evoca uma Aranha Rainha.	
71039	Pergaminho da Tartaruga	Evoca uma Tartaruga de Pedra.	
71040	Pergaminho do Flamejante	Evoca um Rei Flamejante.	
71041	Pergaminho do 9 Caudas	Evoca um Nove Caudas.	
71042	Pergaminho do Demônio	Evoca um Rei Demônio de Elite.	
71043	Pergaminho do Tigre	Evoca um Comandante Tigre.	
71044	Palma da Precisão	Aumenta em 20% a chance de um ataque crítico. Um ataque crítico bem sucedido dobra o dano daquele ataque.	
71045	Palma Perfurante	Aumenta em 20% a chance de um ataque perfurante. Um ataque perfurante bem sucedido ignora a Defesa do oponente.	
71048			
71049	Bolsa de Seda	Permite abrir a Loja Particular quantas vezes quiser dentro do período do item.	
71050	Poção Leopardo	Aumenta o movimento em 60% por 30 minutos (não cumulativo com Poção Roxa).	
71051	Leitura de Jolla	Adiciona até +2 propriedades "brancas" em um item	
71052	Leitura de Arumaka	Altera as propriedades "brancas" em um item.	
71053			
71054	Permissão de Exílio	Ordem do antigo imperador, autorizando a troca de Reino uma única vez.	
71055	Lista de Troca de Nome	Possibilita trocar o nome do personagem.	
71056	Sopro do Dragão Azul	Dobra a chance de sucesso ao refinar Jóias +4 para +5.	
71057	Pergaminho do Fóssil	Evoca uma jazida de Fóssil.	
71058	Pergaminho do Cobre	Evoca uma jazida de Cobre.	
71059	Pergaminho da Prata	Evoca uma jazida de Prata.	
71060	Pergaminho do Ouro	Evoca uma jazida de Ouro.	
71061	Pergaminho da Jade	Evoca uma jazida de Jade.	
71062	Pergaminho do Ébano	Evoca uma jazida de Ébano.	
71063	Pergaminho das Ostras	Evoca uma pilha de Ostras.	
71064	Pergaminho do OuroBranco	Evoca uma jazida de Ouro Branco.	
71065	Pergaminho do Cristal	Evoca uma jazida de Cristal.	
71066	Pergaminho da Ametista	Evoca uma jazida de Ametista.	
71067	Pergaminho da Ágata	Evoca uma jazida de Ágata.	
71068	Pena de Ave do Amor	Dobra a taxa de ganho de Pontos de Amor.	
71069	Brinco da Harmonia	Aumenta a chance do casal de acertar um ataque perfurante. Um ataque perfurante bem sucedido ignora a Defesa do oponente.	
71070	Bracelete do Amor	Aumenta em 20% a experiência ganha pelo casal.	
71071	Brinco do Amor	Aumenta a chance do casal de acertar um ataque crítico. Um ataque crítico bem sucedido dobra o dano daquele ataque.	
71072	Bracelete da Harmonia	Diminui a força de ataque dos monstros em 15%.	
71073	Colar do Amor	Aumenta o ataque do casal (nível mínimo 40).	
71074	Colar da Harmonia	Aumenta a defesa do casal (nível mínimo 30).	
71080	Pergaminho da Metin 1	Evoca uma Pedra Metin de nível baixo.	
71081	Pergaminho da Metin 2	Evoca uma Pedra Metin de nível médio.	
71082	Pergaminho da Metin 3	Evoca uma Pedra Metin de nível alto.	
71083	Livro de Arte Em Pedra	Remove pedras quebradas no soquete de um equipamento.	
71084	Pergam. do Aprimoramento	Altera uma propriedade já existente no item.	
71085	Pergam. Novo Aprim.	Adiciona uma nova propriedade ao item.	
71086	Missão Aprimo.(20 a 29)		
71087	Missão Aprimo.(30 a 39)		
71088	Livro de Quest (Fácil)		
71089	Livro de Quest (Normal)		
71090	Livro de Quest (Difícil)		
71094	Conselho do Eremita	Aumenta a probabilidade de sucesso ao ler um Livro de Skill em 150%.	
71097	Ataque do Deus Dragão +	Aumenta o dano entre 35% por um período de tempo. |  Duração: 30 minutos	
71099	Anel da sucessão	Com esse anel é possível transferir a liderança da guilda para outro membro. |  Duração: 30 minutos	
71101	Poção Sagaz	Cooldown das skills fica 20% mais rápido	
71102	Poção Sagaz+	Cooldown das skills fica 30% mais rápido	
71103	Leitura Vital	Reinicia os pontos de Vitalidade do seu personagem.	
71104	Leitura Mental	Reinicia os pontos de Inteligência do seu personagem.	
71105	Leitura Física	Reinicia os pontos de Força do seu personagem.	
71106	Leitura Ágil	Reinicia os pontos de Agilidade do seu personagem.	
71107	Pomo da Honra	Adiciona 2.000 pontos de honra	
71108	Poção Regeneradora+		
71109	Pergaminho Impuro	Retira a última Gema acoplada ao item. Não funciona com Lascas de Pedra	
71110	Torrão de Açúcar	Permite escolher um nome para sua montaria e aumenta a Defesa em 20 pontos.	
71113	Lupa	Facilita o comércio, exibindo no chat o nome e stats do item anunciado. Use Alt + click no item que deseja anunciar no chat	
71122	Passe da Sala do Dragão	Passe necessário para entrar na sala do Dragão da Água.	
71124	Édem Celestial	Sumona o Édem Celestial| Exp +30%, Movimento+20 	
71131	Cavalo Negron	Bilhete usado para convocar o Cavalo Negro por 10 minutos.	
71132	Cavalo Negro	Bilhete usado para convocar o Cavalo Negro por 30 minutos.	
71133	Cavalo Negro	Bilhete usado para convocar o Cavalo Negro por 60 minutos.	
71134	Cavalo Negro	Bilhete usado para convocar o Cavalo Negro por 180 minutos.	
71135	Anel Lua Crescente	Um lindo anel em formato de lua crescente. A aura brilhante do anel parece adicionar força para aquele que usar.	+50% Expriência | +20% Velocidade de ataque | +20% Velocidade de Skill | +30% Ataque físico | +10% HP Máximo | +10% MP Máximo | (7 dias)
71136	Doce (Físico)	Doce feito com açúcar, tempero e tudo que há de mal. | Fornece os seguintes bônus enquanto equipado: | HP +10% | MP +10% | EXP +50% | Vel. ATQ +20% | Vel. Skill +20% | Ataque +30%	
71137	Anima de Sohan	Sumona o Anima Sohan| Exp +30%	
71138	Anima de Doyama	Sumona o Anima Doyama| Exp +30%	
71139	Anima Yonbi	Sumona o Anima Yongi| Exp +30%	
71140	Anima Gwimok	Sumona o Anima Gwimok| Exp +30%	
71141	Anima Ceifador	Sumona o Anima Ceifador| Exp +30%	
71142	Anima Celestial	Sumona o Anima Celestial| Exp +30%	
71143	Anel Felicidade	Um lindo Anel Verde, inspirando a alegria natalina!Esse anel fornece uma poderosa áurea, ao seu dono! O tempo do anel gastará equipado ou não!	Exp +50% | Velocidade do Ataque +20% | Velocidade de Skill + 20% | Bônus contra Monstros +30% | Max HP +10% | Max MP +10%
71144	Presente de Natal	Um lindo presente, não?! O que será que tem dentro? Abra e descubra!	
71145	Pingente do Amor Eterno	Um lindo pingente em forma de coração, | recheado de pequenas safiras e Ametistas  brilhantes. | Até mesmo a velha casamenteira gostaria de ter um.	Max HP +5% | Max MP +5% | Exp +30% | Velocidade de Skill + 10% | Velocidade do Ataque +10% | Bônus contra monstro +10%
71146	Caixa do Amor Rosa	Uma linda caixa em forma de coração na cor Rosa.|  O Amor é tanto que você poderá abri-lá 10 vezes! | Ah o amor!	
71147	Caixa do Amor Azul	Uma linda caixa em forma de coração na cor Azul. | O Amor é tanto que você poderá abri-lá 10 vezes! | Ah o amor!	
71148	Anel da Sabedoria	Sinta-se mais poderoso usando | o mais novo anel criado pela família |Arumaka. | EXP + 30% | Resistência contra Guerreiro+ 20% | Resistência contra Ninja + 20% | Resistência contra Lycan + 20% | Bônus contra Monstros + 30% | HP + 10% |MP + 10% 	
71149	Anel da Força Letal	Sinta-se mais poderoso usando | o mais novo anel criado pela família |Jolla.  | EXP + 30% | Resistência contra Shura + 20% | Resistência contra Shaman + 20% | Resistência contra Lycan + 20% | Bônus contra Monstros + 30% | HP + 10% | MP + 10%	
71150	Ovo Surpresa	Ovo mágico que contém vérias surpresas. Pode ser aberto 10 vezes.	
71153	Poção da Experiência	Aumenta em 100% a experiência obtida ao derrotar monstros. Duração de 1 hora.	
71154	Poção da Experiência	Aumenta em 80% a experiência obtida ao derrotar monstros. Duração de 3 horas.	
71155	Poção da Experiência	Aumenta em 100% a experiência obtida ao derrotar monstros. Duração de 3 horas.	
71156	Poção da Experiência	Aumenta em 150% a experiência obtida ao derrotar monstros. Duração de 3 horas.	
71158	Medalha do Heroi	Medalha concedida ao herói honrado da familha Jolla. Cujo salvou a vida de muitos!	
71159	Presente Memorial	De alguma forma parece que há algo de bom nesta caixa.	
71160	Presente Memorial	De alguma forma parece que há algo de bom nesta caixa.	
71180	Poção da Experiência	Aumenta em 80% a experiência obtida ao derrotar monstros. Ao usar, o item será equipado e não é possível removê-lo.	
71181	Poção da Experiência 	Aumenta em 100% a experiência obtida ao derrotar monstros. Ao usar, o item será equipado e não é possível removê-lo.	
71188	Doce (Mágico)	Doce feito com açúcar, abóboras e uma pitada de maldade. | Fornece os seguintes bônus enquanto equipado: | HP +10% | MP +10% | EXP +50% | Vel. ATQ +20% | Vel. Skill +20% | ATQ. Mágico +30%	
71189	Perg. do Aprimoramento+	Ao utilizar o item, todos os bônus verdes contidos no equipamento serão sorteados novamente, incluindo seus valores e o pergaminho será consumido. Os novos bônus e valores poderão ser visualizados antes da alteração ser concluída. Você poderá decidir se deseja prosseguir com a alteração ou se deseja manter o equipamento com os bônus anteriores à utilização do pergaminho.	
71190	Baú de Halloween	Uma recompensa será recebida quando está misteriosa caixa for aberta.	
71191	Baú do Jack	Recompensa dada pelo Cabeça de Abóbora. Parece que há bons items dentro.	
71194	Carta Okey(Ouro)	Receberá 5 baralhos ao abrir. |	Este item não estará mais disponível quando o evento for encerrado e não poderá ser usado após o término do evento.
71195	Carta Okey(Prata)	Receberá 1 baralho ao abrir. |	Este item não estará mais disponível quando o evento for encerrado e não poderá ser usado após o término do evento.
71196	Carta Okey(Bronze)	Receberá 6 cartas ao abrir. |	Este item não estará mais disponível quando o evento for encerrado e não poderá ser usado após o término do evento.
71199	Amuleto de Chocolate	Amuleto mágico que te fortalecerá durante a batalha.| Ao usar em conjunto com o pet Ursinho Sonho ou Ursinha Coração, receberá bônus adicional de experiência.	Concede: | Experiência +50% | Velocidade de Ataque +20% | Velocidade de Skill +20% | Dano contra Monstros +10% | HP Máximo +10% | MP Máximo +10%
71202	Amuleto Nazar	Amuleto que te protege contra o mau-olhado de seus inimigos e te abençoa com bônus.	Experiência +50% | Velocidade de Ataque +20% | Velocidade de Skill 20% | Dano contra monstros 10% | Ataque Físico/Mágico +30%
71221	Magic Bundle		
71228	Invocação de Espíritos	Bônus Monstro +15%, Velocidade +20	
71229	Invocação de Fantasmas	Bônus Monstro +15%, Velocidade +20	
71233	Beth, o Castanho		
71234	Oven, o Ceruleo	 	
71254	Lhama Nevada	Use esse selo para invocar uma Lhama fofíssima.	
71255	Lhama Castanha	Use esse selo para invocar uma Lhama fofíssima.	
71261	Nove Caudas Escarlate	Velocidade de Movimento +20% | Bônus contra Monstros +15%	
71262	Nove Caudas Azul-Celeste	Velocidade de Movimento +20% | Bônus contra Monstros +15%	
71263	Lobo Ártico Vermelho	Usado para invocar um lobo feroz que te carregará durante suas aventuras.	
71264	Lobo Ártico Azul	Usado para invocar um lobo feroz que te carregará durante suas aventuras.	
72001	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros.	
72002	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros.	
72003	Anel da Experiência	Aumenta em 50% a experiência obtida ao derrotar monstros.	
72004	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros.	
72005	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros.	
72006	Luva do Ladrão	Aumenta em 50% a chance de dropar itens ao derrotar monstros.	
72007	Bolsa de Seda	Permite abrir a Loja Particular quantas vezes quiser dentro do período do item.	
72008	Bolsa de Seda	Permite abrir a Loja Particular quantas vezes quiser dentro do período do item.	
72009	Bolsa de Seda	Permite abrir a Loja Particular quantas vezes quiser dentro do período do item.	
