AFF_LOVE_POINT	Pontos de Amor: %d%%
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Você não pode mais carregar Gold ou Won.
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Você não pode mais carregar Gold ou Won.
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Não é possível deletar essa carta, pois há um item nele.
MAILBOX_POST_DELETE_QUESTION	Tem certeza que deseja deletar essa carta?
MAILBOX_POST_ALL_DELETE_QUESTION1	Tem certeza que deseja deletar todos as cartas que você recebeu?
MAILBOX_POST_ALL_DELETE_QUESTION2	(Itens e Gold não serão deletados)
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Nenhuma correio recebido.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Gostaria de receber todos os itens das cartas?
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Não há nenhum item a ser recebido.
MAILBOX_POST_NOT_CONFIRM_INFO_1	Há %d correio(s) não lido(s).
MAILBOX_POST_NOT_CONFIRM_INFO_2	(Correio: %d, item: %d)
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Preencha o nome do destinatário.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Preencha o título do correio.
MAILBOX_POST_WRITE_NAME_CHECK	Clique no botão para verificar o personagem.
MAILBOX_POST_WRITE_WRONG_ITEM	Os itens registrados não podem ser enviados.
MAILBOX_POST_WRITE_OK	Carta enviada com sucesso.
MAILBOX_POST_GM_ARRIVE	Carta do GM!
MAILBOX_POST_WRITE_WRONG_MESSAGE	Há palavras impróprias no conteúdo do correio.
MAILBOX_POST_WRITE_WRONG_TITLE	Há palavras impróprias no título do correio.
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Impossível remover Canhão de Água	SNA
MAP_DEFENSE_WAVE	Onda de Defesa
MAP_DEFENSE_WAVE_PORT	Porto
GIVEUP_QUESTION	Você não receberá recompensa ou pontos se você sair.\nDeseja fechar o jogo?
MESSENGER_BLOCK	Lista de Bloqueio
MESSENGER_ADD_BLOCK_FRIEND	Adicionar
TARGET_BUTTON_BLOCK	Bloquear
TARGET_BUTTON_BLOCK_REMOVE	Desbloquear
FISHING_RENEWAL_QUESTION	Um peixe está mordendo a isca. Deseja tentar pescá-lo?
FISHING_RENEWAL_TIMEOUT	Pesca cancelada devido ao limite de tempo.
FISHING_RENEWAL_CANNOT_OPEN_1	Não pode abrir durante a pesca.
FISHING_RENEWAL_CANNOT_OPEN_2	Não pode realizar essa ação durante a pesca.
FISHING_RENEWAL_CANNOT_EMOTION	Você não pode usar expressões enquanto pesca.
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Bênção do Atum Dourado	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Suas roupas foram ensopadas\nVelocidade de Movimento -50	SNA
MINIMAP_OPEN_INGAMEEVENT	Eventos
SAFEBOX_NEED_CHANGE_PASSWORD	Por segurança, sua senha não é mais válida.\nPor favor, altere-a imediatamente.
SAFEBOX_UNAVILABLE_PASSWORD_01	Não é possível usar essa senha.
SAFEBOX_UNAVILABLE_PASSWORD_02	A senha deve conter pelo menos %d caracteres.
SAFEBOX_UNAVILABLE_PASSWORD_03	Não é possível alterar a senha para uma igual à atual.
SAFEBOX_UNAVILABLE_PASSWORD_04	Sua senha não pode conter %d letras iguais consecutivas.
SAFEBOX_UNAVILABLE_PASSWORD_05	Não é possível usar caracteres que não sejam alfanuméricos.
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bônus do armazém\nEXP +3%	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bônus do armazém\nDefesa +20	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bônus do armazém\nHP +1%	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bônus do armazém\nDano contra monstros +3%	SNA
MAILBOX_FAIL_USE_TIME_LIMIT	Recarregando o correio. Tente novamente mais tarde.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Para essa %s\né necessário: %s x%d
DRAGON_SOUL_NOT_ENOUGH_MONEY	Você não possui gold suficiente para prosseguir.
DS_SYSTEM_MSG_1	Necessário %s (x%d).
QUEST_HOUR	hora(s)
CUBE_CATEGORY_ARMOR	Armadura
CUBE_CATEGORY_WEAPON	Arma
CUBE_CATEGORY_ACCESSORY	Acessório
CUBE_CATEGORY_BELT	Cinto
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_SETADD_WEAPON	Efeito de Conjunto: Arma
CUBE_CATEGORY_SETADD_ARMOR	Efeito de Conjunto: Armadura
CUBE_CATEGORY_SETADD_HELMET	Efeito de Conjunto: Elmo
CUBE_CATEGORY_PET	Pet
CUBE_CATEGOR_SKILL_BOOK	Livro de Habilidade
CUBE_PLEASE_SELECT	Nenhum item selecionado.
CUBE_NOT_ENOUGH_MATERIAL	Não há material suficiente.
CUBE_NOT_ENOUGH_GOLD	Não há gold suficiente.
CUBE_NOT_ENOUGH_GEM	Não possui gema de gaya suficiente para criar.
PET_CANNOT_FEED_CUBEOPEN	Não é possível alimentar o pet
CUBE_MAKE_CONFIRM_QUESTION_1	Alguns materiais possuem mais do que %d encantamentos/adicionais.	
CUBE_MAKE_CONFIRM_QUESTION_2	Deseja prosseguir com a manufaturação?
MAP_MINIBOSS_01	Mini Boss
MAP_MINIBOSS_02	Mini Boss
MD_POPUP_MSG_1	O acesso é apenas pelo mapa do Templo do Zodíaco.
MD_POPUP_MSG_2	Os bosses estão se recuperando.\nTente novamente mais tarde.
MD_SYSTEM_MSG_1	Não é possível entrar enquanto estiver morto.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Não há pet para ressuscitar
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Não há materiais suficientes
REFINE_FAILURE_GRADE_DOWN	A refinação falhou. A refinação do item foi diminuída.
REFINE_FAILURE_DEL_ITEM	A refinação falhou. O item foi destruído.
REFINE_FAILURE_KEEP_GRADE	A refinação falhou. A refinação do item foi mantida, que sorte!
AURA_TITLE_ABSORB	Absorver para a Aura
AURA_TITLE_EVOLUTION	Evoluir Aura
AURA_TITLE_GROWTH	Fortalecer Aura
AURA_DRAIN_PER	Taxa de absorção: %.1f%%
AURA_LEVEL_STEP	Nv %d (Estágio %d)
AURA_TOOLTIP_NOW	Atual
AURA_TOOLTIP_NEXT	Item alterado
AURA_TOOLTIP_RESOURCE	Materiais necessários
AURA_TOOLTIP_LEVEL	Nv %d (Estágio %d) (Taxa de absorção: %.1f%%)
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_RESOURCE_ITEM	%s %d unidades
AURA_TOOLTIP_NEED_YANG	%s gold
AURA_ITEM_NEED_REGISTER	<Aura> Necessário registrar um item.
AURA_IMPOSSIBLE_GROWTHITEM	<Aura> Esse item não pode ser usado no fortalecimento.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	<Aura> Esse item não pode ser usado na evolução.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	<Aura> Não possui material suficiente para evoluir.
AURA_IMPOSSIBLE_REFINEITEM	<Aura> Apenas escudo, colar, brincos e bracelete estão disponíveis.
AURA_IMPOSSIBLE_EQUIPITEM	<Aura> Esse item não pode ser usado.
AURA_IMPOSSIBLE_SEALITEM	<Aura> Não é possível usar um item vinculado.
AURA_POSSIBLE_REGISTER_AURAITEM	<Aura> Registre primeiro a Aura.
AURA_NOTICE_DEL_ABSORDITEM	<Aura> Itens absorvidos desaparecerão.
AURA_POSSIBLE_AURAITEM	<Aura> Apenas Aura está disponível.
AURA_IMPOSSIBLE_ABSORBITEM	<Aura> Essa Aura não pode absorver mais bônus.
AURA_EVOLUTION_GOLD	<Aura> A quantidade necessária para evoluir é insuficiente.
AURA_MAX_LEVEL	<Aura> A Aura atingiu o nível máximo.
AURA_OPEN_OTHER_WINDOW	<Aura> Não é possível absorver, evoluir ou fortalecer enquanto a janela estiver aberta.
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	skill def+15%, attack def+15%	SNA
CHANGE_TOOLTIP2_LINE1	Registre a montaria que terá a aparência alterada (alvo) no lado esquerdo. O material deve ser registrado no lado direito.
CHANGE_TOOLTIP2_LINE2	Ao clicar em confimar [V] usará gold ou o item Transmutar Montaria, e então a aparência será alterada.
CHANGE_TOOLTIP2_LINE3	Ao usar o item Transmutar Montaria, nenhum gold será consumido ao alterar a aparência (o item será consumido).
CHANGE_TOOLTIP2_LINE4	Caso tanto a montaria que terá a aparência alterada (alvo) quanto a montaria utilizada como material possuam duração, após a transmutação, a duração que prevalecerá é a da montaria alvo.
CHANGE_TOOLTIP2_LINE5	Caso troque a aparência de uma montaria permanente para uma montaria que possui duração, a aparência durará de acordo com a duração da montaria que foi usada como material (tempo real será contabilizado, não o montado).
CHANGE_LOOK_NEED_MONEY	Não possui gold ou item suficiente.
CHANGE_LOOK_TITLE2	Transmutar Montaria
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d] 
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
MAP_BOSS_LABYRINTH	Labirinto da Ilusão
MAP_BOSS_CRACK_SKIPIA	Gruta Chun (FT)
MAP_BOSS_CRACK_FLAME	Purgatório Ardente (FT)
MAP_BOSS_CRACK_SNOW	Torre de Nemere (FT)
MAP_BOSS_CRACK_DAWNMIST	Floresta Encantada (FT)
MAP_BOSS_AWAKEN_SKIPIA	Gruta Chun (DT)
MAP_BOSS_AWAKEN_FLAME	Purgatório Ardente (DT)
MAP_BOSS_AWAKEN_SNOW	Torre de Nemere (DT)
MAP_BOSS_AWAKEN_DAWNMIST	Floresta Encantada (DT)
SERVER_STATUS_NEW	NEW
SERVER_STATUS_SPECIAL	SPECIAL
SERVER_STATUS_CLOSE	CLOSE
CHANNEL_STATUS_OFFLINE	Offline
CHANNEL_STATUS_VACANT	Disponível
CHANNEL_STATUS_RECOMMENDED	Recomendado
CHANNEL_STATUS_BUSY	Ocupado
CHANNEL_STATUS_FULL	Lotado
SERVER_NOTIFY_CLOSED	SERVER_NOTIFY_CLOSED
SERVER_STATUS_STANDBY	STANDBY
BATTLE_ROYALE_APPLICATION_TITLE	Battle Royale
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Registrar
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Iniciar
BATTLE_ROYALE_MAINBUTTON_CANCEL	Cancelar
BATTLE_ROYALE_MAINBUTTON_EXIT	Sair
BATTLE_ROYALE_WHO_KILLED	Derrotado por: %s
BATTLE_ROYALE_PERSONAL_RANK	Ranking Pessoal: %d
BATTLE_ROYALE_KILL_COUNT	Mortes: %d
BATTLE_ROYALE_ALIVE_COUNT	Sobreviventes: %d
BATTLE_ROYALE_CANNOT_OPEN_MALL	Não é possível abrir nesse mapa.
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Deseja usar o item Vigor Infinito?
BATTLE_ROYALE_WINNER_1	Você venceu o Battle Royale!
BATTLE_ROYALE_WINNER_2	Você será movido para a vila em breve.
BATTLE_ROYALE_NOTIFY_APPLICATED	Sua entrada foi registrada. A batalha será iniciada quando houver jogadores suficientes registrados.
BATTLE_ROYALE_NOTIFY_STARTABLE	Você pode entrar no modo Battle Royale. Clique no botão de evento para entrar.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	A entrada para a dungeon registrada está fechada.
BATTLE_ROYALE_NOTIFY_WINNER	Você venceu
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Velocidade de Movimento reduzida	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Velocidade de Movimento aumentada	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Vigor Infinito	SNA
SOLO_RK_CATEGORY_BATTLE_ROYALE	Battle Royale
SOLO_RK_CATEGORY_BATTLE_ROYALE_RECORD_0	Vitórias
MAP_BATTLE_ROYALE	Battle Royale
MINI_GAME_CHALLENGE_QUESTION1	{0} gold e {1} Tickets de Desafio são necessários. Deseja participar?
MINI_GAME_CHALLENGE_QUESTION2	Se o desafio instantâneo for selecionado, a janela de confirmação não aparecerá ao escolher pedra-papel-tesoura.
MINI_GAME_CHALLENGE_NOT_ENOUGH_TICKET	Não possui Tickets de Desafio suficientes.
MINI_GAME_CHALLENGE_NOT_ENOUGH_YANG	Não possui gold suficiente.
MINI_GAME_CHALLENGE_REWARD_EXP	Recebeu %d de experiência de desafio.
MINI_GAME_CHALLENGE_USE_EXP_FAIL_WAIT_TIME	A experiência de desafio poderá ser usada quando o tempo de espera acabar.
MINI_GAME_CHALLENGE_NOT_ENOUGH_INVEN	Por favor, abra espaço no inventário para receber a recompensa.
MINI_GAME_CHALLENGE_NOT_ENOUGH_PREMIUM_TICKET	Não possui Ticket Premium (ED) suficientes.
MINI_GAME_CHALLENGE_WAITING_TIME_DELETE_QUESTION_POPUP1	Tem certeza que deseja remover o tempo de espera para o nível?
MINI_GAME_CHALLENGE_WAITING_TIME_DELETE_QUESTION_POPUP2	Por favor, esteja ciente de que não poderá receber a recompensa caso não atinja o nível.
MINI_GAME_CHALLENGE_EXP_INCREASE_QUESTION_POPUP	Deseja usar EXP do Desafio (+5000)?
MINI_GAME_CHALLENGE_NOT_ENOUGH_LEVEL	A participação no evento é permitida apenas para personagens com nível 30 ou superior.
MINI_GAME_CHALLENGE_FAIL_NONE_SELECT	O desafio só é possível se você selecionar Pedra, Papel ou Tesoura.
MINI_GAME_CHALLENGE_ITEM_USE_FAIL_EVENT_END	Não pode ser usado pois o evento acabou.
MINI_GAME_CHALLENGE_FAIL_MSG_INIT	Inicialização em progresso. Por favor, use mais tarde.
MINI_GAME_CHALLENGE_USE_EXP_FAIL_NOT_ENOUGH_EXP	Não há experiência de desafio. Conquiste experiência de desafio através do mini-game.
MINI_GAME_CHALLENGE_EVENT_END	O evento acabou.
MAP_MISTS_OF_ISLAND	Ilha das Névoas
USE_ITEM_QUESTION_01	Deseja entrar na Guerra dos Santuários?
USE_ITEM_QUESTION_02	Deseja retornar para o local em que foi derrotado?\nCustará %s gold.
USE_ITEM_QUESTION_03	Você será teletransportado para uma posição aleatória.\nDeseja entrar?
USE_ITEM_QUESTION_04	Ao entrar na Guerra dos Santuários, todos os buffs serão desativados!\n Você será teletransportado para uma posição aleatória.\n Deseja entrar?
USE_ITEM_QUESTION_05	Ao entrar na Guerra dos Santuários, todos os buffs serão desativados!\n Deseja retornar para o local em que foi derrotado?\n Custará %s gold.
USE_ITEM_BUTTON_01	Retornar agora
USE_ITEM_BUTTON_02	Entrar
USE_ITEM_POPUP_01	Não está em andamento no momento\nPróximo em: 
RESTART_POPUP_GIVEUP_MIST_ISLAND	Você foi derrotado na Guerra dos Santuários!\nSerá movido para a vila.
MISTS_ISLAND_INFO_01	Seu nível é muito baixo.
MISTS_ISLAND_INFO_02	Não possui gold suficiente.
MISTS_ISLAND_INFO_03	Não há batalha ocorrendo no momento.
MISTS_ISLAND_QUESTION_01	Deseja sair da Guerra dos Santuários?
MISTS_ISLAND_QUESTION_02	Deseja ir para o santuário que foi atacado recentemente?\nCusto: %s gold.
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Reino ocupante: %s
MISTS_ISLAND_TOOLTIP_03	Nível de fortalecimento: +%d
MISTS_ISLAND_TOOLTIP_04	Bônus da ocupação: %s
MISTS_ISLAND_TOOLTIP_05	Como conquistar um Santuário
MISTS_ISLAND_TOOLTIP_06	1- Quando o santuário for destruído, um reino poderá conquistá-lo.
MISTS_ISLAND_TOOLTIP_07	2- 1 minuto após a ativação, o reino com mais jogadores na área do santuário poderá conquistá-lo.
MISTS_ISLAND_TOOLTIP_08	3- 3 minutos após a ativação, o reino que se manter na área da conquista terá a posse do santuário.
MISTS_ISLAND_TOOLTIP_09	4- O santuário se fortalecerá após alguns minutos para se proteger.
MISTS_ISLAND_MSG_01	%s foi destruído por %s!
MISTS_ISLAND_MSG_02	%s conquistou a posse de %s!
MISTS_ISLAND_MSG_03	%s ocupou %s!
MISTS_ISLAND_MSG_04	%s está atacando %s!
MISTS_ISLAND_MSG_05	%s conseguiu fortalecer o %s para o nível %d!
MISTS_ISLAND_MSG_06	%s surgiu no campo de batalha!
MISTS_ISLAND_BUFF_MSG_01	Energia +2
MISTS_ISLAND_BUFF_MSG_02	Taxa de drop de item +10%
MISTS_ISLAND_BUFF_MSG_03	Força, Inteligência, Vitalidade e Destreza +3
MISTS_ISLAND_BUFF_MSG_04	Taxa de drop de gold +10%
MISTS_ISLAND_BUFF_MSG_05	Aumento nos atributos de trajes em +3%
TOOLTIP_AFFECT_MI_BUFF	Bônus de ocupação\n%s
MINI_GAME_BNW_START_QUESTION	Para iniciar o mini-game é necessário 30.000 gold e 1x Baralho de Tarô. Deseja continuar?
MINI_GAME_BNW_NOT_ENOUGH_YANG	Não possui gold suficiente para o mini-game.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Não possui o item necessário para o mini-game.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Não há espaço suficiente em seu inventário
MINI_GAME_BNW_RESULT_DRAW1	Seu número é igual
MINI_GAME_BNW_RESULT_DRAW2	Empate
MINI_GAME_BNW_RESULT_WIN1	Seu número é maior 
MINI_GAME_BNW_RESULT_WIN2	Vitória
MINI_GAME_BNW_RESULT_LOSE1	Seu número é menor
MINI_GAME_BNW_RESULT_LOSE2	Derrota
MINI_GAME_BNW_GAME_RESULT_DRAW	O duelo empatou e você recebeu %d Moedas da Clarividência.
MINI_GAME_BNW_GAME_RESULT_WIN	Você venceu o duelo e recebeu %d Moedas da Clarividência.
MINI_GAME_BNW_GAME_RESULT_LOSE	Você perdeu o duelo e recebeu %d Moedas da Clarividência.
MINI_GAME_BNW_GAME_RESULT_SCORE	Pontuação final: %d
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Deseja fechar o jogo?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	(Receberá recompensas extras se ganhar)
MINI_GAME_BNW_FONT	Arial:15
SHOP_NOT_ENOUGH_BNW	Não possuí Moedas da Clarividência suficientes.
BNW_COIN	Moeda da Clarividência
MINI_GAME_BNW_DONATE_QUESTION1	Deseja doar?
MINI_GAME_BNW_DONATE_QUESTION2	15x Moedas da Clarividência serão consumidas.
REFINE_ELEMENT_TEXT_ELECT	Relâmpago +%d
REFINE_ELEMENT_TEXT_FIRE	Fogo +%d
REFINE_ELEMENT_TEXT_ICE	Gelo +%d
REFINE_ELEMENT_TEXT_WIND	Vento +%d
REFINE_ELEMENT_TEXT_EARTH	Terra +%d
REFINE_ELEMENT_TEXT_DARK	Trevas +%d
REFINE_ELEMENT_EXIST	Esse item já possui outro elemento.
REFINE_ELEMENT_GRADE_MAX	O nível do encantamento atingiu o máximo.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Encantamento elemental está disponível apenas para armas com nível de refinação +7 ou superior.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Não possui gold suficiente.
REFINE_ELEMENT_NOT_EXSIT	Não pode ser usado nesta arma.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Encantado com sucesso!
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Encantamento falhou.
REFINE_ELEMENT_DOWNGRADE_TEXT	Nível do encantamento elemental foi reduzido.
REFINE_ELEMENT_CHANGE_TEXT	O elemento de %s\nagora é %s!
TOOLTIP_APPLY_ENCHANT_ELECT2	Bônus contra relâmpago +%d%%~+%d%%
TOOLTIP_APPLY_ENCHANT_FIRE2	Bônus contra fogo +%d%%~+%d%%
TOOLTIP_APPLY_ENCHANT_ICE2	Bônus contra gelo +%d%%~+%d%%
TOOLTIP_APPLY_ENCHANT_WIND2	Bônus contra vento +%d%%~+%d%%
TOOLTIP_APPLY_ENCHANT_EARTH2	Bônus contra terra +%d%%~+%d%%
TOOLTIP_APPLY_ENCHANT_DARK2	Bônus contra trevas +%d%%~+%d%%
MEDAL_OF_HONOR	Medalha de Honra
BUY_LIMIT_LEVEL	Limite de compra: %s
LIMIT_LEVEL_GUILD	Nível da guilda: %d
SHOP_MY_MEDAL_OF_HONOR	Medalha de Honra: %d
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Medalha de Honra insuficiente
SHOP_NOT_ENOUGH_GUILD_LEVEL	Nível da guilda insuficiente
MEDAL_OF_HONOR_SYSTEM_PICK	Obtido: Medalha de Honra x%d
GUILDWINDOW_BUTTON_DONATE	Doação
GUILD_DONATE_QUESTION_NORMAL	Deseja fazer uma doação padrão?
GUILD_DONATE_QUESTION_MIDDLE	Deseja fazer uma doação média?
GUILD_DONATE_QUESTION_HIGH	Deseja fazer uma doação superior?
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Não é possível doar com o inventário cheio.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Não possui gold suficiente.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Não possui Cupom de Doação Médio.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Não possui Cupom de Doação Superior.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Não é possível marcar presença agora. A marcação é reiniciada às 05:00 AM.
GUILD_ATTENDANCE_FAIL_ALREADY	Você já marcou presença hoje.
GUILDWINDOW_CHANGE_BLACKSMITH	Trocar Oficina
MAP_GUILD_PVE	Palácio do Rei Dragão
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Necessário ter nível 30 ou superior para doar.
GUILD_DONATE_FAIL_TIME	É necessário estar na guilda há pelo menos 24 horas para poder doar.
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	Você foi derrotado.\nSerá movido para fora.
TOOLTIP_CURSE_OF_ELEMENTAL	HP máximo é drenado continuamente (acúmulo %d)	SA
TOOLTIP_PROTECTION_OF_ELEMENTAL	Não receberá dano da Maldição Espiritual.	SNA
TOOLTIP_POTION_OF_ELEMENTAL	Ataque Físico/Mágico +5% e Resistência contra todos os elementos +10%	SNA
TOOLTIP_AFFECT_SET_ITEM_1	Efeito de Conjunto - Nobre	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Efeito de Conjunto - Sublime	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Efeito de Conjunto - Magnificente	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Efeito de Conjunto - Brilhante	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Efeito de Conjunto - Radiante	SNA
TOOLTIP_SET_ITEM_1	Nobre 
TOOLTIP_SET_ITEM_2	Sublime 
TOOLTIP_SET_ITEM_3	Magnificente 
TOOLTIP_SET_ITEM_4	Brilhante 
TOOLTIP_SET_ITEM_5	Radiante 
SET_ITEM_DO_NOT_EQUIP_ITEM	<Efeito de Conjunto> Não pode ser usado em item equipado.
SET_ITEM_CLEAR_CONFIRM_QUESTION	Deseja remover o efeito de conjunto?
SET_ITEM_DO_NOT_SEAL_ITEM	<Efeito de Conjunto> Não pode ser usado em item bloqueado.
SET_ITEM_CLEAR_CONFIRM_QUESTION_1	Há item com %d ou mais bônus/joias.
SET_ITEM_CLEAR_CONFIRM_QUESTION_2	Tem certeza que deseja prosseguir?
REFINE_FAILURE_NO_MORE_REINFORCE	Não é possível fortalecer mais.
TOOLTIP_INSIGHT_SKILL_LEVEL	Nivel atual: %d
TOOLTIP_ROLE_PROFICIENCY_SKILL_LEVEL	Nivel atual: %d
TOOLTIP_ROLE_PROFICIENCY_LEADER_EFFECT	Efeito de Líder do Grupo: %d%%
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Você preencheu o requisito de registro da conquista %s ( %d ).
MC_ACHIEV_REGIST_FAIL	Não é possível registrar conquista enquanto a barra de registros do monstro estiver cheia.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	Não é possível registrar conquistas. Por favor, tente novamente após reduzir a barra de registros.
MC_ACHIEV_REGIST_QUESTION_1	Deseja registrar %s?\nNecessário %d estrelas para prosseguir.
MC_ACHIEV_REGIST_QUESTION_2	Após registrar, não poderá reverter.\nDeseja realmente prosseguir?
MC_ACHIEV_SHOW_APPLYS	Ver bônus aplicado
MC_ACHIEV_SHOW_MONSTER	Ver imagem
TOOLTIP_AFFECT_PASWAE	Defesa e velocidade de movimento reduzidos durante 5 segundos
MAP_ELEMENTAL_DUNGEON	Terra dos Espíritos 
SECOND_CONFIRM_PET_FEED_QUESTION_1	Bônus no item: %d ou mais
SECOND_CONFIRM_PET_FEED_QUESTION_2	Tem certeza que deseja alimentar o pet?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Bônus no item: %d ou mais
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Tem certeza que deseja vendê-lo?
TOOLTIP_SKILL_DAMAGE_SAMYEON	Aumenta o dano da Sequência de Golpes em %d%%	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Aumenta o dano da Investida Rápida em %d%%	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Aumenta o dano do Vórtice em %d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Aumenta o dano da Técnica Cortante em %d%%	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Aumenta o dano do Impacto Terrestre em %d%%	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Aumenta o dano do Disparo de Energia em %d%%	SA
TOOLTIP_SKILL_DAMAGE_AMSEOP	Aumenta o dano da Punhalada Surpresa em %d%%	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Aumenta o dano do Avanço Ágil em %d%%	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Aumenta o dano da Acrobacia em %d%%	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Aumenta o dano do Veneno de Serpente em %d%%	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Aumenta o dano do Tiro Concentrado em %d%%	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Aumenta o dano da Chuva de Flechas em %d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Aumenta o dano da Flecha Venenosa em %d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Aumenta o dano da Flecha de Fogo em %d%%	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Aumenta o dano do Palmo de Energia em %d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Aumenta o dano do Ciclone em %d%%	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Aumenta o dano do Dissipar Magia em %d%%	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Aumenta o dano da Esfera Espiritual em %d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Aumenta o dano do Fogo das Sombras em %d%%	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Aumenta o dano do Espiral da Escuridão em %d%%	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Aumenta o dano da Energia Concentrada em %d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Aumenta o dano do Dragão Veloz em %d%%	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Aumenta o dano do Rugido do Dragão em %d%%	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Aumenta o dano da Lança Elétrica em %d%% 	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Aumenta o dano do Campo Estático em %d%% 	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Aumenta o dano da Corrente Elétrica em %d%% 	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Aumenta o dano do Retalhar em %d%% 	SA
